Archery,,,
,,,
See also: Archery at the 2020 Summer Olympics,,,
,,,
, China, Romania, Estonia
Team épée, Estonia (EST), South Korea (KOR), Italy (ITA)
,Julia Beljajeva,Choi In-jeong,Rossella Fiamingo
,Irina Embrich,Kang Young-mi,Federica Isola
,Erika Kirpu,Lee Hye-in,Mara Navarria
,Katrina Lehis,Song Se-ra,Alberta Santuccio
Individual foil,Lee Kiefer,Inna Deriglazova,Larisa Korobeynikova
, United States, ROC, ROC
Team foil, ROC, France (FRA), Italy (ITA)
,Inna Deriglazova,Anita Blaze,Martina Batini
,Larisa Korobeynikova,Astrid Guyart,Erica Cipressa
,Marta Martyanova,Pauline Ranvier,Arianna Errigo
,Adelina Zagidullina,Ysaora Thibus,Alice Volpi
Individual sabre,Sofia Pozdniakova,Sofya Velikaya,Manon Brunet
, ROC, ROC, France
Team sabre, ROC, France (FRA), South Korea (KOR)
,Olga Nikitina,Sara Balzer,Kim Ji-yeon
,Sofia Pozdniakova,Cécilia Berder,Yoon Ji-su
,Sofya Velikaya,Manon Brunet,Seo Ji-yeon
,,Charlotte Lembach,Choi Soo-yeon
,,,
Field hockey,,,
,,,
See also: Field hockey at the 2020 Summer Olympics,,,
,,,
Event,Gold,Silver,Bronze
Men, Belgium (BEL), Australia (AUS), India (IND)
,Gauthier Boccard,Daniel Beale,Dilpreet Singh
,Tom Boon,Joshua Beltz,Rupinder Pal Singh
,Thomas Briels,Tim Brand,Surender Kumar
,Cédric Charlier,Andrew Charter,Manpreet Singh
,Félix Denayer,Tom Craig,Hardik Singh
,Nicolas De Kerpel,Matt Dawson,Gurjant Singh
,Arthur De Sloover,Blake Govers,Simranjeet Singh
,Sébastien Dockier,Jeremy Hayward,Mandeep Singh
,John-John Dohmen,Tim Howard,Harmanpreet Singh
,Simon Gougnard,Dylan Martin,Lalit Upadhyay
,Alexander Hendrickx,Trent Mitton,P. R. Sreejesh
,Antoine Kina,Eddie Ockenden,Sumit
,Loïck Luypaert,Flynn Ogilvie,Nilakanta Sharma
,Augustin Meurmans,Lachlan Sharp,Shamsher Singh
,Victor Wegnez,Joshua Simmonds,Varun Kumar
,Vincent Vanasch,Jacob Whetton,Birendra Lakra
,Florent Van Aubel,Tom Wickham,Amit Rohidas
,Arthur Van Doren,Aran Zalewski,Vivek Prasad
Women, Netherlands (NED), Argentina (ARG), Great Britain (GBR)
,Felice Albers,Agustina Albertarrio,Giselle Ansley
,Eva de Goede,Agostina Alonso,Grace Balsdon
,Xan de Waard,Noel Barrionuevo,Amy Costello
,Marloes Keetels,Valentina Costa Biondi,Fiona Crackles
,Josine Koning,Emilia Forcherio,Sarah Haycroft
,Sanne Koolen,Agustina Gorzelany,Maddie Hinch
,Laurien Leurink,María José Granatto,Sarah Jones
,Frédérique Matla,Victoria Granatto,Hannah Martin
,Freeke Moes,Julieta Jankunas,Shona McCallin
,Laura Nunnink,Sofía Maccari,Lily Owsley
,Malou Pheninckx,Delfina Merino,Hollie Webb
,Pien Sanders,Valentina Raposo,Isabelle Petter
